Date,Aggregated_Daily_Score,Aggregated_General_Sentiment,Long_Term_Trend,Aggregated_Daily_Score_5,Aggregated_Sentiment_5,Signal_5,Aggregated_Daily_Score_15,Aggregated_Sentiment_15,Signal_15,Aggregated_Daily_Score_30,Aggregated_Sentiment_30,Signal_30,Aggregated_Daily_Score_100,Aggregated_Sentiment_100,Signal_100
2014-05-18,-0.9113888099971599,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-0.8990291262135922,отрицательный,-1,-0.9113888099971599,отрицательный,-1
2014-05-19,-0.06390230048281742,нейтральный,0,0.8994271164863146,положительный,1,0.017041581458759447,нейтральный,0,0.06666666666666665,нейтральный,0,-0.06390230048281742,нейтральный,0
2014-05-20,0.8568588469184888,положительный,1,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.8568588469184888,положительный,1
2014-05-21,0.28770235728486226,нейтральный,0,0.35624799229039517,положительный,1,0.35624799229039517,положительный,1,0.38696849189354565,положительный,1,0.38696849189354565,положительный,1
2014-05-22,0.6961090599261572,положительный,1,0.8181818181818183,положительный,1,0.8181818181818183,положительный,1,0.8268583664729277,положительный,1,0.8268583664729277,положительный,1
2014-05-23,0.3263277477989208,положительный,1,-0.15237507711289344,нейтральный,0,0.39993575329264375,положительный,1,0.4285714285714288,положительный,1,0.4285714285714288,положительный,1
2014-05-24,-0.8437943765975575,отрицательный,-1,-1.0,отрицательный,-1,-0.9235464182460649,отрицательный,-1,-0.831752829611502,отрицательный,-1,-0.831752829611502,отрицательный,-1
2014-05-25,-0.8392502130076682,отрицательный,-1,-0.9940981187753597,отрицательный,-1,-0.918406681657565,отрицательный,-1,-0.8268583664729274,отрицательный,-1,-0.8268583664729274,отрицательный,-1
2014-05-26,0.5944333996023856,положительный,1,0.8679454075986719,положительный,1,0.7031802120141342,положительный,1,0.7031802120141342,положительный,1,0.7173447537473234,положительный,1
2014-05-27,-0.1894348196535076,нейтральный,0,-0.09004739336492895,нейтральный,0,-0.18342434950208808,нейтральный,0,-0.18342434950208808,нейтральный,0,-0.12695013765677576,нейтральный,0
2014-05-28,-0.2769099687588753,нейтральный,0,-0.21169036334913105,нейтральный,0,-0.2823642788307099,нейтральный,0,-0.2823642788307099,нейтральный,0,-0.22116855307433458,нейтральный,0
2014-05-29,0.0014200511218405154,нейтральный,0,0.1727416798732173,нейтральный,0,0.032444587214905285,нейтральный,0,0.032444587214905285,нейтральный,0,0.07861731416335305,нейтральный,0
2014-05-30,-0.40017040613462085,отрицательный,-1,-1.0,отрицательный,-1,-0.42177963379376804,отрицательный,-1,-0.42177963379376804,отрицательный,-1,-0.35393086570816756,отрицательный,-1
2014-05-31,-0.8386821925589322,отрицательный,-1,-1.0,отрицательный,-1,-0.9177642145840026,отрицательный,-1,-0.9177642145840026,отрицательный,-1,-0.8262465585806057,отрицательный,-1
2014-06-01,-0.8744674808293098,отрицательный,-1,-1.0,отрицательный,-1,-0.9582396402184388,отрицательный,-1,-0.9582396402184388,отрицательный,-1,-0.8647904557968797,отрицательный,-1
2014-06-02,0.041749502982107556,нейтральный,0,1.0,положительный,1,0.05839895013123364,нейтральный,0,0.07805974943784144,нейтральный,0,0.12205567451820154,нейтральный,0
